index,image_path,prompt,clip_score,time_ms
1,Output_Images/Final_Model/int8_01.png,a cute dog,22.480997,8149.56
2,Output_Images/Final_Model/int8_02.png,a beautiful mountain,21.017759,8922.78
3,Output_Images/Final_Model/int8_03.png,a bowl of fruit,24.714418,12535.28
4,Output_Images/Final_Model/int8_04.png,a happy cat,20.062140,13088.15
5,Output_Images/Final_Model/int8_05.png,a sunset over the ocean,23.475250,11397.76
6,Output_Images/Final_Model/int8_06.png,a man riding a bike,21.076283,11953.12
7,Output_Images/Final_Model/int8_07.png,a delicious pizza,23.986320,9568.36
8,Output_Images/Final_Model/int8_08.png,a child playing football,24.917778,9231.82
9,Output_Images/Final_Model/int8_09.png,a red sports car,25.247818,17882.25
10,Output_Images/Final_Model/int8_10.png,a flower in the rain,26.036274,12702.24

avg,,,23.301504,11543.13
