idx,name,type,weight_shape,has_bias
0,conv_in,Conv2d,320x4x3x3,True
1,time_embedding.linear_1,Linear,1280x320,True
2,time_embedding.linear_2,Linear,1280x1280,True
3,down_blocks.0.attentions.0.proj_in,Conv2d,320x320x1x1,True
4,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,320x320,False
5,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,320x320,False
6,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,320x320,False
7,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
8,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,320x320,False
9,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,Linear,320x768,False
10,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,320x768,False
11,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
12,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
13,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,Linear,320x1280,True
14,down_blocks.0.attentions.0.proj_out,Conv2d,320x320x1x1,True
15,down_blocks.0.attentions.1.proj_in,Conv2d,320x320x1x1,True
16,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,320x320,False
17,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_k,Linear,320x320,False
18,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,320x320,False
19,down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,320x320,True
20,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,320x320,False
21,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,320x768,False
22,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,Linear,320x768,False
23,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,320x320,True
24,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,2560x320,True
25,down_blocks.0.attentions.1.transformer_blocks.0.ff.net.2,Linear,320x1280,True
26,down_blocks.0.attentions.1.proj_out,Conv2d,320x320x1x1,True
27,down_blocks.0.resnets.0.conv1,Conv2d,320x320x3x3,True
28,down_blocks.0.resnets.0.time_emb_proj,Linear,320x1280,True
29,down_blocks.0.resnets.0.conv2,Conv2d,320x320x3x3,True
30,down_blocks.0.resnets.1.conv1,Conv2d,320x320x3x3,True
31,down_blocks.0.resnets.1.time_emb_proj,Linear,320x1280,True
32,down_blocks.0.resnets.1.conv2,Conv2d,320x320x3x3,True
33,down_blocks.0.downsamplers.0.conv,Conv2d,320x320x3x3,True
34,down_blocks.1.attentions.0.proj_in,Conv2d,640x640x1x1,True
35,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,640x640,False
36,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,640x640,False
37,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,640x640,False
38,down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
39,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_q,Linear,640x640,False
40,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,640x768,False
41,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,Linear,640x768,False
42,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
43,down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
44,down_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,Linear,640x2560,True
45,down_blocks.1.attentions.0.proj_out,Conv2d,640x640x1x1,True
46,down_blocks.1.attentions.1.proj_in,Conv2d,640x640x1x1,True
47,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,Linear,640x640,False
48,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,Linear,640x640,False
49,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,640x640,False
50,down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,640x640,True
51,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,Linear,640x640,False
52,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,640x768,False
53,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,640x768,False
54,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,640x640,True
55,down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,5120x640,True
56,down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,640x2560,True
57,down_blocks.1.attentions.1.proj_out,Conv2d,640x640x1x1,True
58,down_blocks.1.resnets.0.conv1,Conv2d,640x320x3x3,True
59,down_blocks.1.resnets.0.time_emb_proj,Linear,640x1280,True
60,down_blocks.1.resnets.0.conv2,Conv2d,640x640x3x3,True
61,down_blocks.1.resnets.0.conv_shortcut,Conv2d,640x320x1x1,True
62,down_blocks.1.resnets.1.conv1,Conv2d,640x640x3x3,True
63,down_blocks.1.resnets.1.time_emb_proj,Linear,640x1280,True
64,down_blocks.1.resnets.1.conv2,Conv2d,640x640x3x3,True
65,down_blocks.1.downsamplers.0.conv,Conv2d,640x640x3x3,True
66,down_blocks.2.attentions.0.proj_in,Conv2d,1280x1280x1x1,True
67,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,Linear,1280x1280,False
68,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,Linear,1280x1280,False
69,down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,1280x1280,False
