layer,type,shape,params,mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
conv_in,Conv2d,"(320, 4, 3, 3)",11840,W4A8,4,8.0,0.00349605805,0.039981111875,0.86530828475,0.997937719575,2910.9725,2694.02,
conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A8,8,8.0,0.0010267917250000001,0.015787623375,0.3304988444,0.99946186495,2910.9725,2722.4875,
conv_out,Conv2d,"(4, 320, 3, 3)",11524,W4A8,4,8.0,0.021506233625000003,0.115425447,0.5382719785000001,0.987079868325,2910.9725,2821.42,
conv_out,Conv2d,"(4, 320, 3, 3)",11524,W8A8,8,8.0,0.00208243965,0.035700082775,0.184784978625,0.998772091,2910.9725,2845.9575,
down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,0.0029708357,0.029255727775,0.792603522525,0.998367750025,2910.9725,2692.725,
down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,2.8459975e-05,0.002861605,0.079883903275,0.999984367475,2910.9725,2700.6275,
down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,0.011499328525000001,0.039109744625000005,0.81484095005,0.9940564238,2910.9725,2737.54,
down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,1.3624575e-05,0.00229145745,0.0417255247,0.999992571775,2910.9725,2734.7625,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W4A8,4,8.0,0.0004122613,0.0121061725,0.255356829625,0.9997477341500001,2910.9725,2704.8825,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,1.4182249999999999e-06,0.000713104675,0.013251500225,0.999999212475,2910.9725,2695.49,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,0.008956470075,0.0335357792,0.875430360425,0.995374739675,2910.9725,2729.715,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,2.41508e-05,0.00230103245,0.055018686675,0.9999872066,2910.9725,2698.58,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,0.00376114305,0.020948295475,0.5087143928,0.99805929085,2910.9725,2730.76,
