layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W4A8,4,8,1.6657e-06,0.00033793310000000004,0.0271066129,0.99999899375,2910.9725,3162.615,
up_blocks.0.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8,8.246775e-06,0.001557599175,0.033045856275,0.99999557455,2910.9725,2756.3625,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W4A8,4,8,0.004419429525,0.040434041525,0.542837008825,0.9976874436250001,2910.9725,2696.5225,
down_blocks.1.attentions.1.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W4A8,4,8,0.0186889926,0.06249496525,1.18922415375,0.9902635773999999,2910.9725,2732.9875,
up_blocks.0.resnets.2.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,3.4824999999999996e-08,0.000117188775,0.002339959125,0.9999999797,2910.9725,3362.105,
up_blocks.3.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8,1.2379999999999998e-07,0.000274471275,0.0026903674,0.9999999189,2910.9725,2784.645,
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8,1.515e-07,0.00012664777500000002,0.009717891900000001,0.9999999141,2910.9725,3166.0775000000003,
mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.78975e-07,0.000218516575,0.0071391724,0.9999999047,2910.9725,2847.585,
up_blocks.2.resnets.0.time_emb_proj,Linear,"(640, 1280)",819840,W8A8,8,8,1.83075e-07,0.0002865387,0.00627268105,0.999999891525,2910.9725,2734.77,
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(640, 640)",409600,W8A8,8,8,2.5622500000000003e-07,0.00024904475,0.007352638975,0.99999986035,2910.9725,2713.8725,
mid_block.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,2.81275e-07,0.0002440309,0.00649858265,0.999999851875,2910.9725,2806.795,
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8,2.98375e-07,0.000369614125,0.012395203125,0.999999831025,2910.9725,2815.1675,
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8,3.0045e-07,0.000422983575,0.0077547580000000005,0.999999817725,2910.9725,2812.1975,
up_blocks.3.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8,3.192e-07,0.0004458704,0.004862964175,0.9999998075250001,2910.9725,2803.56,
