sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A16,8,,3160.62,2399.43,,5.63855e-05,0.0042759003,0.1045840681,0.9999712445
a crisp portrait of a golden retriever in studio lighting,123,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A8,8,8.0,3160.62,2392.74,,0.0036506029,0.0355338939,0.9025981426,0.9981488079
a crisp portrait of a golden retriever in studio lighting,123,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W4A16,4,,3160.62,2329.13,,0.0298293624,0.0866552889,2.5235805511,0.984790963
a crisp portrait of a golden retriever in studio lighting,123,conv_in,Conv2d,"(320, 4, 3, 3)",11840,W4A8,4,8.0,3160.62,2347.27,,0.005978025,0.0447367653,2.1224761009,0.9969494657
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_1,Linear,"(1280, 320)",410880,W8A16,8,,3160.62,2332.31,,1.789e-07,0.0002438302,0.0060577691,0.9999999106
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_1,Linear,"(1280, 320)",410880,W8A8,8,8.0,3160.62,2399.0,,8.3721e-06,0.0018390496,0.0416025817,0.9999958655
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_1,Linear,"(1280, 320)",410880,W4A16,4,,3160.62,2346.31,,0.0116513325,0.0748320371,1.0462042093,0.9943635927
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_1,Linear,"(1280, 320)",410880,W4A8,4,8.0,3160.62,2363.68,,0.011143785,0.0729294419,1.0412518978,0.9945986189
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W8A16,8,,3160.62,2399.42,,1.6563e-05,0.0028357101,0.039285779,0.9999917339
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,3160.62,2404.58,,2.4341e-05,0.0036605776,0.0709195137,0.9999884147
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W4A16,4,,3160.62,2380.09,,0.1898191422,0.2729673684,8.953127861,0.9163117518
a crisp portrait of a golden retriever in studio lighting,123,time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,3160.62,2412.26,,0.1893773079,0.2729022205,8.9552974701,0.9165282152
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,3160.62,2415.78,,0.0001301317,0.0062626163,0.1458863914,0.9999337248
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,3160.62,2422.59,,8.38928e-05,0.0045030462,0.2274637222,0.9999572225
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,3160.62,2444.62,,0.0078475662,0.0457933508,2.358171463,0.9960093994
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,3160.62,2423.35,,0.0091205938,0.0496483222,2.464304924,0.9953635604
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2497.59,,7.5391e-06,0.0014977686,0.0423724055,0.9999961686
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2426.42,,1.6888e-06,0.0006844848,0.0365753174,0.9999991431
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2465.4,,0.0144414948,0.0583298467,1.6434453726,0.9926086142
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2480.75,,0.0146517549,0.0586736724,1.6697400808,0.9925008649
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2484.96,,3.3363e-06,0.0010983933,0.0194974542,0.999998304
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2483.55,,3.6178e-06,0.0011174678,0.0256924629,0.9999981572
